No,ユーザー/社員ID,グループ社員ID,社員番号,姓,名,申請区分(異動事由),メモ,昇降格サイン,降格理由,給与等級変更サイン,雇用タイプ_新,本務兼務区分_新,兼務理由_新,出向元会社_新,出向元会社社員番号_新,休職者サイン_新,ポジションコード_新,組織コード_新,ビジネスユニット_新,部門_新,統括部_新,グループ_新,チーム_新,役職_新,フリータイトル_新,出向先会社_新,勤務場所_新,コストセンター_新,上司ポジションコード_新,上司氏名_新,ジョブファミリー_新,ジョブタイプ_新,ポジション_バンド_新,バンド_新,給与等級_新,業務研修ポジション_新,非組合協定対象者_新,ポジション_労働組合員_新,労働組合員_新,ポジション_裁量労働対象_新,裁量労働対象_新,雇用タイプ,本務兼務区分,兼務理由,出向元会社,出向元会社社員番号,休職者サイン,ポジションコード,組織コード,ビジネスユニット,部門,統括部,グループ,チーム,役職,フリータイトル,出向先会社,勤務場所,コストセンター,上司ポジションコード,上司氏名,ジョブファミリー,ジョブタイプ,ポジション_バンド,バンド,給与等級,業務研修ポジション,非組合協定対象者,ポジション_労働組合員,労働組合員,ポジション_裁量労働対象,裁量労働対象,除外理由
1,SF001,,SF001,田中,健一,,,,,, 正社員,本務,,,,,P001,org_a_keiei,,,,,, 本部長,,, 東京本社,CC-A001,,,, 経営管理,管理職,B6,B6,6等級,,, False,False,True,True, 正社員,本務,,,,,P001,org_a_keiei,,,,,, 本部長,,, 東京本社,CC-A001,,,, 経営管理,管理職,B6,B6,6等級,,, False,False,True,True,
2,SF002,,SF002,伊藤,大輝,,,,,, 正社員,本務,,,,,P002,org_a_kikaku,,,,,, 部長,,, 東京本社,CC-A001,,P001,田中 健一, 経営管理,管理職,B5,B5,5等級,,, False,False,True,True, 正社員,本務,,,,,P002,org_a_kikaku,,,,,, 部長,,, 東京本社,CC-A001,,P001,田中 健一, 経営管理,管理職,B5,B5,5等級,,, False,False,True,True,
3,SF003,,SF003,渡辺,哲也,,,,,, 正社員,本務,,,,,P003,org_a_kikaku,,,,,, 課長,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,主任職,B4,B4,4等級,,, True,True,True,True, 正社員,本務,,,,,P003,org_a_kikaku,,,,,, 課長,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,主任職,B4,B4,4等級,,, True,True,True,True,
4,SF004,,SF004,中村,恵,,,,,, 正社員,本務,,,,,P004,org_a_kikaku,,,,,, 担当,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,担当職,B3,B3,3等級,,, True,True,True,True, 正社員,本務,,,,,P004,org_a_kikaku,,,,,, 担当,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,担当職,B3,B3,3等級,,, True,True,True,True,
5,SF005,,SF005,小林,拓海,,,,,, 正社員,本務,,,,,P005,org_a_senryaku,,,,,, 室長,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,管理職,B5,B5,5等級,,, False,False,True,True, 正社員,本務,,,,,P005,org_a_senryaku,,,,,, 室長,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,管理職,B5,B5,5等級,,, False,False,True,True,
6,SF006,,SF006,加藤,奈々,,,,,, 正社員,本務,,,,,P006,org_a_senryaku,,,,,, 担当,,, 東京本社,CC-A001,,P005,小林 拓海, 経営管理,担当職,B3,B3,3等級,,, True,True,True,True, 正社員,本務,,,,,P006,org_a_senryaku,,,,,, 担当,,, 東京本社,CC-A001,,P005,小林 拓海, 経営管理,担当職,B3,B3,3等級,,, True,True,True,True,
7,SF007,,SF007,吉田,誠,,,,,, 正社員,本務,,,,,P007,org_a_senryaku,,,,,, 担当,,, 東京本社,CC-A001,,P005,小林 拓海, 経営管理,担当職,B3,B3,3等級,,, True,True,True,True, 正社員,本務,,,,,P007,org_a_senryaku,,,,,, 担当,,, 東京本社,CC-A001,,P005,小林 拓海, 経営管理,担当職,B3,B3,3等級,,, True,True,True,True,
8,SF008,,SF008,山口,陽菜,,,,,, 正社員,本務,,,,,P008,org_a_gyomu,,,,,, 課長,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,主任職,B4,B4,4等級,,, True,True,False,False, 正社員,本務,,,,,P008,org_a_gyomu,,,,,, 課長,,, 東京本社,CC-A001,,P002,伊藤 大輝, 経営管理,主任職,B4,B4,4等級,,, True,True,False,False,
9,SF009,,SF009,松本,翔,,,,,, 正社員,本務,,,,,P009,org_a_gyomu,,,,,, 担当,,, 東京本社,CC-A001,,P008,山口 陽菜, 経営管理,担当職,B3,B3,3等級,,, True,True,False,False, 正社員,本務,,,,,P009,org_a_gyomu,,,,,, 担当,,, 東京本社,CC-A001,,P008,山口 陽菜, 経営管理,担当職,B3,B3,3等級,,, True,True,False,False,
10,SF010,,SF010,井上,さくら,,,,,, 正社員,本務,,,,,P010,org_a_dx,,,,,, 室長,,, 東京本社,CC-A001,,P001,田中 健一, IT・DX,管理職,B5,B5,5等級,,, False,False,True,True, 正社員,本務,,,,,P010,org_a_dx,,,,,, 室長,,, 東京本社,CC-A001,,P001,田中 健一, IT・DX,管理職,B5,B5,5等級,,, False,False,True,True,
